Label,Start (s),End (s)
Intro,0.0,2.0
Intro Humming,2.0,9.0
Interlude 1,9.0,29.5
Pallavi,29.5,85.0
Interlude 2,85.0,100.5
Charanam 1,100.5,178.5
Interlude 3,178.5,203.5
Charanam 2,203.5,243.5
Interlude 4,243.5,254.0
Charanam 3,254.0,297.5
Outro,297.5,308.62
