Label,Start (s),End (s)
Intro,0.0,11.5
Pallavi,11.5,104.0
Interlude 1,104.0,121.0
Charanam 1,121.0,172.5
Interlude 2,172.5,204.5
Charanam 2,204.5,277.0
Outro,277.0,290.5
