Label,Start (s),End (s)
Intro (Instrumental),0.0,17.5
Pallavi,17.5,78.5
Interlude 1,78.5,106.5
Charanam 1,106.5,154.0
Interlude 2,154.0,167.5
Charanam 2,167.5,242.0
Interlude 3,242.0,264.0
