Label,Start (s),End (s)
Intro (Instrumental),0.0,18.0
Pallavi,18.0,128.5
Interlude 1,128.5,141.0
Charanam 1,141.0,164.0
Interlude 2,164.0,183.5
Charanam 2,183.5,219.0
Interlude 3,219.0,229.5
Pallavi,229.5,233.5
