start,end,label,type
0.0,19.0,Intro ( Instrumental ),instrumental
19.0,76.0,Pallavi,vocals
76.0,95.0,Chorus / Refrain,vocals
95.0,123.0,Interlude 1 ( Instrumental ),instrumental
123.0,142.0,Interlude 2 ( Human Chorus ),instrumental
142.0,190.0,Charanam 1,vocals
190.0,195.0,Interlude 3 ( Instrumental ),instrumental
195.0,208.0,Pallavi (Repeat),vocals
208.0,238.0,Interlude 4 ( Human Chorus ),instrumental
238.0,285.0,Charanam 2,vocals
285.0,317.0,Outro / Folk Chant,instrumental
