Label,Start (s),End (s)
Intro (Instrumental),0.0,11.0
Pallavi,11.0,21.5
Interlude 1,21.5,36.5
Charanam 1,36.5,101.5
Interlude 2,101.5,126.5
Charanam 2,126.5,202.0
Interlude 3,202.0,235.5
Charanam 3,235.5,351.5
