start,end,label,type
0.0,17.0,Intro (Instrumental),instrumental
17.0,45.0,Pallavi,vocals
45.0,73.0,Anupallavi,vocals
73.0,86.0,Pallavi (Repeat),vocals
86.0,98.0,Interlude 1 ( Human Chorus ),instrumental
98.0,127.0,Interlude 2 ( Instrumental ),instrumental
127.0,161.0,Charanam 1,vocals
161.0,220.0,Interlude 3 ( Instrumental )),instrumental
