Label,Start (s),End (s)
Intro (Instrumental),0.0,19.5
Pallavi,19.5,33.0
Interlude 1,33.0,43.5
Charanam 1,43.5,95.5
Interlude 2,95.5,124.0
Charanam 2,124.0,209.0
Interlude 3,209.0,220.0
Charanam 3,220.0,296.0
Outro (Instrumental),296.0,317.5
