Label,Start (s),End (s)
Intro (Instrumental),0.0,2.5
Humming / Alaap,2.5,4.5
Intro (Instrumental),4.5,13.0
Pallavi,13.0,199.0
Interlude 1,199.0,208.5
Charanam 1,208.5,248.0
