Label,Start (s),End (s)
Intro,0.0,55.5
Pallavi,55.5,92.0
Interlude 1,92.0,128.0
Charanam 1,128.0,177.0
Interlude 2,177.0,185.5
Bridge,185.5,191.0
Interlude 3,191.0,200.0
Charanam 2,200.0,237.26
