Label,Start (s),End (s)
Pallavi,0.0,79.0
Interlude 1,79.0,105.5
Humming / Alaap,105.5,111.0
Interlude 2,111.0,124.0
Charanam 1,124.0,208.5
Interlude 3,208.5,239.5
Charanam 2,239.5,336.0
