Label,Start (s),End (s)
Pallavi,0.0,79.0
Interlude 1,79.0,109.0
Bridge,109.0,111.0
Interlude 2,111.0,124.0
Charanam 1,124.0,208.0
Interlude 3,208.0,239.0
Charanam 2,239.0,335.65
