Label,Start (s),End (s)
Intro (Instrumental),0.0,1.0
Humming / Alaap,1.0,1.5
Intro (Instrumental),1.5,17.5
Pallavi,17.5,109.0
Interlude 1,109.0,118.5
Charanam 1,118.5,161.0
Interlude 2,161.0,190.0
Humming / Alaap,190.0,192.0
Interlude 3,192.0,205.0
Pallavi,205.0,215.0
Outro (Instrumental),215.0,225.5
