Label,Start (s),End (s)
Intro (Instrumental),0.0,4.0
Pallavi,4.0,100.5
Interlude 1,100.5,130.0
Charanam 1,130.0,222.0
Interlude 2,222.0,257.5
Humming / Alaap,257.5,258.0
Outro (Instrumental),258.0,268.5
