Label,Start (s),End (s)
Intro,0.0,17.5
Pallavi,17.5,120.0
Interlude 1,120.0,138.5
Charanam 1,138.5,160.5
Interlude 2,160.5,180.0
Charanam 2,180.0,215.0
Interlude 3,215.0,225.0
Outro,225.0,233.24
