Label,Start (s),End (s)
Intro,0.0,17.5
Pallavi,17.5,106.0
Interlude 1,106.0,127.5
Charanam 1,127.5,160.5
Interlude 2,160.5,204.5
Charanam 2,204.5,215.0
Outro,215.0,225.38
