Label,Start (s),End (s)
Intro Humming,0.0,65.5
Interlude 1,65.5,82.5
Pallavi,82.5,132.0
Interlude 2,132.0,160.5
Charanam 1,160.5,210.0
Interlude 3,210.0,226.5
Charanam 2,226.5,241.48
