start,end,label,type
0.0,11.0,humming,vocals
11.0,25.0,Pallavi,vocals
25.0,55.0,charanam 1,vocals
55.0,69.0,charanam 2,vocals
69.0,85.0,charanam 3,vocals
85.0,99.0,Pallavi (Repeat),vocals
99.0,129.0,Interlude 1 ( Instrumental ),instrumental
129.0,162.0,charanam 4,vocals
162.0,176.0,charanam 5,vocals
176.0,220.0,charanam 6,vocals
220.0,268.0,Outro ( Instrumental ),instrumental
