Label,Start (s),End (s)
Intro (Instrumental),0.0,20.0
Pallavi,20.0,33.5
Interlude 1,33.5,44.0
Charanam 1,44.0,97.0
Interlude 2,97.0,126.0
Charanam 2,126.0,213.0
Interlude 3,213.0,223.5
Charanam 3,223.5,301.5
Interlude 4,301.5,317.5
