start,end,label,type
0.0,38.0,- Intro,instrumental
38.0,58.0,- Hook,vocals
59.0,76.0,- Pallavi,vocals
76.0,96.0,- Chorus / Refrain,vocals
96.0,102.0,- Interlude 1,instrumental
102.0,115.0,- Hook,vocals
115.0,141.0,- Interlude 2,instrumental
141.0,180.0,- Charanam 1,vocals
180.0,192.0,- Chorus / Refrain,vocals
192.0,208.0,- Hook,vocals
208.0,241.0,- Interlude 3,instrumental
241.0,278.0,- Charanam 2,vocals
278.0,316.0,- Hook,vocals
