Label,Start (s),End (s)
Intro (Instrumental),0.0,7.0
Humming / Alaap,7.0,158.5
Interlude 1,158.5,165.0
Pallavi,165.0,169.5
Interlude 2,169.5,177.5
Charanam 1,177.5,236.0
Interlude 3,236.0,242.5
Charanam 2,242.5,266.5
