Label,Start (s),End (s)
Intro,0.0,19.5
Intro Humming,19.5,33.0
Interlude 1,33.0,43.5
Pallavi,43.5,95.0
Interlude 2,95.0,124.0
Charanam 1,124.0,208.5
Interlude 3,208.5,219.5
Charanam 2,219.5,295.5
Outro,295.5,317.04
