start,end,label,type
0.0,11.0,instrumental Intro,instrumental
11.0,24.0,Pallavi,vocals
24.0,79.0,Charanam 1,vocals
79.0,131.0,Interlude1 ( Instrumental ),instrumental
131.0,191.0,Charanam 2,vocals
191.0,239.0,Interlude 2 ( Instrumental ),instrumental
239.0,323.0,Charanam 3,vocals
