Label,Start (s),End (s)
Intro,0.0,3.5
Pallavi,3.5,84.0
Interlude 1,84.0,99.5
Charanam 1,99.5,193.5
Interlude 2,193.5,212.5
Bridge,212.5,214.5
Interlude 3,214.5,245.5
Charanam 2,245.5,337.08
